user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases
13742,-3.911067836615605,-3.2613103195918534,0.0
13915,-13.90156607132117,-13.346330862813225,3.0
13985,-18.720601625349705,-18.12294287115363,5.0
14049,-9.175106408256267,-9.43823976496003,2.0
14075,-2.415779715926769,-2.0472194138783135,0.0
14098,-5.555266454612907,-4.249483870501229,1.0
14166,-41.73039452549757,-41.4873869909626,15.0
14184,-8.511342217249677,-8.763527871261905,2.0
14240,-12.538289328102449,-12.692357545110305,3.0
14263,-15.552168370202752,-15.373990449621234,4.0
14471,-30.530379156932774,-30.010187491733205,10.0
14586,-1.177625112814377,-1.2676445278034505,0.0
14661,-5.174189674147462,-5.417031436924289,1.0
14786,-5.113980721041136,-3.7277541233424354,1.0
14792,-25.14731232516505,-23.295216266270952,8.0
14816,-25.583737417921366,-23.21649635956819,7.0
14823,-22.65930637251522,-21.95924055226149,7.0
14910,-56.368509842921384,-57.351168330291436,11.0
14916,-38.89686895681565,-38.57967359193124,13.0
14937,-5.056976328720807,-5.110369364343756,1.0
15111,-27.11197517732222,-26.195763428345693,8.0
15197,-11.84122529430802,-11.696008250634456,3.0
15360,-14.251328793596155,-15.07347233730687,4.0
15370,-54.52164132582717,-55.70360768181767,22.0
15391,-5.530732784215204,-5.881472524622158,1.0
15508,-32.859894355605036,-24.8064908600782,6.0
15517,-34.11608048304262,-32.02279277523293,8.0
15553,-11.907047276765267,-11.900074453957563,3.0
15580,-29.34554254944216,-28.901661845791367,11.0
15613,-9.721968357886805,-9.667308760799408,2.0
15625,-74.69861385810773,-72.72716390810972,31.0
15662,-12.431380621022631,-11.77280107851802,2.0
15671,-14.436898023357028,-13.775484085762512,3.0
15803,-30.98932453436487,-31.403402213850722,11.0
15954,-58.12537937465761,-56.91085592233115,22.0
16051,-59.43916712456497,-61.15895490504702,25.0
16082,-1.4813409710145136,-1.2755560028453818,0.0
16306,-0.8863616841608835,-0.8050410765564245,0.0
16355,-5.133080292239298,-4.819725537765692,1.0
16360,-2.9999202620151957,-2.690012734857071,0.0
16387,-8.775466025940224,-8.292269178954083,1.0
16483,-6.978902668331797,-6.574466045722618,1.0
16492,-10.11552719617462,-10.649919058359048,2.0
16612,-11.579178197462957,-11.520002066009766,3.0
16907,-10.16899842201474,-10.72717666817518,2.0
16982,-5.372125809819854,-5.391681813226196,1.0
17104,-12.709337410008105,-12.015402850202246,3.0
17189,-23.650230479961596,-22.219154987179692,4.0
17225,-5.0042138182440565,-4.6632672324769295,1.0
17237,-99.7374829355563,-103.2151300247181,39.0
17415,-12.844174445926582,-12.589260974018146,3.0
17601,-12.53740789796954,-12.104042799248782,3.0
