user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases,ll_user_scale_hawkes
655708,-33.39952179814689,-32.87333697202894,11.0,-33.519373061553985
655782,-14.207247852246017,-13.487411436117704,3.0,-15.253576744011752
655806,-25.056103047995435,-25.101389808215487,8.0,-25.286315188315168
656001,-4.9585911348904,-5.797469987608588,1.0,-5.866400602020406
656090,-6.098601294665469,-5.942965535191501,1.0,-5.819826027071802
656115,-1.1321832202876931,-1.2803376544258127,0.0,-0.9273537685953702
656325,-5.166806559531404,-5.238920896621643,1.0,-5.284737299577182
656388,-34.733630012987064,-32.72338867372873,6.0,-36.45689573845922
656408,-16.67209634426506,-16.39986449509021,4.0,-16.720845663366376
656614,-44.294962596881184,-42.439540934523976,15.0,-42.09048121206861
656677,-58.83505904946192,-56.28791355484028,19.0,-57.16545448434171
656708,-13.283689225065018,-12.877565868655577,3.0,-12.966376850788087
656841,-69.4173327206568,-67.39805158637272,35.0,-66.2776174096017
657037,-47.63981841706355,-43.86414328393571,8.0,-47.35117464863734
657134,-11.334217167828175,-10.635793343447688,2.0,-10.78028536974014
657240,-20.98767673030295,-21.59087636147546,6.0,-21.40320480954357
657377,-11.503964291619017,-9.830772239163364,0.0,-9.170492160276858
657385,-22.029842169011204,-22.529969376911296,7.0,-22.797230172452103
657630,-26.574523231374325,-27.70214031309277,6.0,-27.723124445585228
657661,-0.8739092546142408,-0.969625149493304,0.0,-0.876261513311991
657704,-29.854897778844137,-28.34355899612928,8.0,-28.126966593396517
657722,-7.21756505662018,-6.964070599141742,1.0,-7.144156070227416
657760,-61.46881241799727,-60.78437754526833,27.0,-61.24501512739127
657790,-5.009154747666586,-5.355394576135354,1.0,-5.37741740057441
657841,-23.88430702513621,-21.624957058093692,4.0,-21.451266816164893
657979,-5.690105509494671,-5.42635329624422,1.0,-5.021266113381443
658088,-5.872771822251384,-5.924275328093946,1.0,-5.918910411003938
658186,-53.23517786512343,-49.234301093870116,19.0,-49.10939534819579
658204,-22.028893195019492,-22.056270012878148,7.0,-22.24742839114881
658209,-4.973140657369677,-4.7103121247563715,1.0,-4.511170471987798
658241,-15.911613330927484,-15.64157715453042,4.0,-15.072506222245686
658278,-49.30680344554507,-44.90709485712502,13.0,-45.57376485666209
658455,-2.088772687414786,-2.0219127040064584,0.0,-1.4632380364693494
658471,-1.177625112814377,-1.1409903862895532,0.0,-0.921321436331758
658475,-36.48703174725168,-36.22201805035581,9.0,-40.33951168268672
658547,-5.733362985816423,-4.998980366919247,0.0,-2.9597306395592007
658549,-18.30684942909353,-17.911032736399143,5.0,-18.088228691617232
658744,-5.492552221741192,-2.706475995158924,1.0,-2.508116772269956
658878,-44.207815783671656,-39.87651475478757,11.0,-40.9293261126308
658945,-17.569815541438903,-17.32812712126107,5.0,-16.936879624772562
658994,-23.239874656903503,-22.894152965123883,8.0,-22.902047227358935
659003,-41.5681683563623,-39.12049308842731,12.0,-38.336216968013595
659041,-8.776869499150742,-8.978900089702966,2.0,-9.610099227065884
659051,-107.46061518363176,-104.96598370016766,26.0,-106.317532029556
659087,-27.51449769964362,-26.83574193308323,9.0,-27.045058242212864
659144,-8.146328026607891,-8.01721746768265,1.0,-6.899538289049237
659230,-22.37414284118028,-22.61077780078293,7.0,-22.70104928477598
659311,-9.519587180926177,-9.318707416391309,2.0,-9.25210177429198
659418,-14.492377773558596,-13.947352874587663,3.0,-14.162740415806416
659456,-109.81936006320268,-98.7202520424081,39.0,-100.3281014503201
659810,-7.5636612693836,-6.251010982326001,0.0,-6.432611607793154
659961,-8.63334780162147,-8.80715999199405,2.0,-8.793752984603966
659980,-19.542296574816397,-19.745516022097625,6.0,-19.824086362296967
660050,-32.522620156339364,-29.379227904094677,10.0,-29.68441501182641
660258,-21.400714100188452,-22.018466539043953,5.0,-22.70403221264572
660294,-11.529818308817084,-11.22669672445549,3.0,-11.154436057792894
660352,-5.617583583820284,-10.17454241568915,1.0,-8.395872047445488
660368,-14.766871817389664,-15.08650320280725,4.0,-15.196779964580458
660637,-31.18989606247051,-31.746727639962412,10.0,-31.317554753114024
660664,-43.52166211874653,-43.09208707340472,18.0,-43.17034594129453
660717,-13.509178505578726,-13.593476890734998,3.0,-13.68908422756442
660803,-14.470292170107568,-14.789466936433312,4.0,-14.749721138919828
660861,-2.088772687414786,-1.7578802279026184,0.0,-1.5708475611236985
660881,-5.174189674147462,-5.114794833588273,1.0,-4.823939133311414
660997,-21.760347656110476,-21.786142449789708,7.0,-21.848628404194315
661022,-2.9999202620151957,-2.5780673126656697,0.0,-2.780171081884032
661216,-16.298980037517527,-16.26914022030863,4.0,-16.44194748307417
661235,-5.195797624980317,-5.538145176301491,1.0,-6.995245573196024
661285,-54.045378523476415,-53.15093066105874,21.0,-53.71984290218169
661460,-9.298234591395142,-9.147981529733212,2.0,-9.167027439788042
661977,-30.507026981461394,-31.47327340385404,9.0,-31.279202638496137
662138,-8.678538006183492,-8.027528583392877,1.0,-7.80376948005324
662192,-49.94002070026464,-50.54310840423693,8.0,-81.74489018395526
662199,-35.14552751555545,-34.58512609819329,12.0,-34.24088065212106
662248,-6.703154838693091,-6.501921159741029,1.0,-6.079426513231123
662362,-37.398582412460435,-34.99575371187572,11.0,-35.79489501436894
662519,-26.39911858532988,-26.745844867368813,9.0,-26.69916896356587
662628,-53.10238015563541,-52.15388696905149,19.0,-51.85067356872685
662712,-6.601701753792846,-6.602500031537729,1.0,-6.087140736756374
663178,-8.909433946824539,-8.039462145488335,2.0,-8.580988483026363
663233,-12.654557959606084,-12.551209432121029,3.0,-12.41193438806228
663369,-1.7937491934969505,-1.6507502964288063,0.0,-1.3593770830215492
663431,-12.388684008246235,-12.35350953737194,3.0,-12.455526984012767
663459,-6.994408345204738,-6.694253588832369,1.0,-6.983144651889298
663465,-43.85402697777949,-44.79762202356746,18.0,-44.49088366007376
663578,-19.735035399899775,-17.586360951270947,5.0,-17.661252598897036
663643,-1.177625112814377,-1.063553699426618,0.0,-0.6717719410057413
663764,-24.63954374124564,-23.37514540686684,7.0,-23.417396931628797
663790,-34.42776374881466,-33.961645138419094,11.0,-34.963434051711964
663902,-17.171532260084046,-16.440416819810675,3.0,-16.26072366348881
663939,-16.26542380244957,-16.789277939376145,4.0,-16.68370267294182
663960,-54.894943127909535,-54.124938025675995,20.0,-54.287939821607765
663988,-1.4813409710145136,-1.2714760400701424,0.0,-1.3134757493508575
664081,-3.911067836615605,-3.2461670346608473,0.0,-3.154315559738269
664180,-15.08490363147238,-15.40534963916712,4.0,-15.37285629701531
664207,-12.681136380657,-12.489051654469671,3.0,-12.441717563826218
664273,-11.750764146398035,-12.18544502673954,3.0,-12.383453714708052
664382,-24.62345132980244,-24.73428283486231,8.0,-24.74093469751478
664414,-15.601396567421986,-16.281012560668998,4.0,-16.22828906858311
664438,-9.669733084065667,-9.85349727945436,2.0,-9.98376540856856
664567,-8.571961897236498,-9.45078071972259,2.0,-9.46189207821375
664569,-5.3439715163133,-5.38689896810628,1.0,-5.255506410341005
664694,-5.053776302868574,-4.732973844524518,1.0,-4.828480231919993
664871,-25.79206750707491,-23.714014880555307,6.0,-24.099963984189618
664877,-1.4813409710145136,-1.3046709742060116,0.0,-0.0809418683308818
664917,-5.231984579705419,-5.32369484241583,1.0,-5.292453041893521
665011,-13.225434748339058,-12.948600962393936,3.0,-13.294081713163202
665054,-22.99570504217763,-23.014956616315565,7.0,-22.97854692960958
665157,-16.077101038099396,-15.477011746179118,3.0,-23.348208756688667
665182,-9.06477499959862,-9.368381359236189,2.0,-9.335696977989295
665204,-8.573874569646364,-8.744992824357338,2.0,-8.771895756399198
