user_id,user_scale,train_days
46100,0.5790711892768741,207
46174,0.6770625384524465,207
46179,0.7990814791992307,207
46331,0.869834222830832,207
46446,0.5032573780044913,207
46449,0.9014831436797976,207
46622,0.6778055243194103,177
46672,0.8394285896793008,207
46765,0.8685277728363872,207
46810,0.45355204958468676,207
46926,0.8357343496754766,198
46931,0.7584575796499848,207
47008,0.6315232114866376,207
47043,0.8168633608147502,186
47083,0.5592661397531629,207
47281,0.8250519586727023,207
47408,0.8145246794447303,207
47451,0.9588593570515513,207
47490,0.9163225116208196,207
47543,0.7308321120217443,207
47642,0.585713223554194,207
47689,0.5509995762258768,207
47699,0.550605021417141,207
47790,0.8503213850781322,207
47946,0.9197799349203706,207
47954,0.8262350363656878,188
48102,0.0,189
48108,0.810608840547502,207
48109,0.6953152967616916,207
48179,0.5399803770706058,207
48184,0.7992488564923406,207
48193,0.5934112379327416,207
48320,0.5548413889482617,207
48348,0.8270791033282876,207
48370,0.7648270763456821,207
48379,0.7239153468981385,205
48453,0.39671534206718206,207
48580,0.8300192980095744,207
48627,0.0,207
48769,0.7046820735558867,207
48962,0.7447460340335965,124
48979,0.8744516922160983,207
49083,0.6270404439419508,207
49104,0.8745434368029237,207
49260,0.5323498090729117,207
49325,0.7665118249133229,207
49329,0.8608871186152101,207
49369,0.8259411109611392,207
49383,0.9065394336357713,207
49440,0.8824050659313798,207
49443,0.8569489093497396,207
49452,0.7607397949323058,207
49532,0.6811432493850589,207
49574,0.8498896425589919,207
49833,0.8119110437110066,207
49910,0.692680305801332,207
49927,0.39614269975572824,207
49985,0.342435403726995,207
49986,0.8903553476557136,205
50169,0.8419225038960576,207
50205,0.7204322004690766,207
50223,0.7121774833649397,207
50543,0.3304562345147133,207
50631,0.8607347728684545,207
50638,0.8508881041780114,207
50694,0.6065850891172886,207
50882,0.8077594032511115,207
51103,0.7817393960431218,207
51116,0.6898279255256057,207
51367,0.6285139080137014,207
51443,0.867189378477633,207
51509,0.0,207
51614,0.8240773575380445,193
51622,0.4150344571098685,207
51673,0.8438159944489598,207
51995,0.20329696591943502,207
52227,0.6616778997704387,207
52268,0.4397582961246371,207
52417,0.5548438569530845,207
52466,0.8211098471656442,207
52481,0.6463401718065143,207
52482,0.8222776232287288,207
52589,0.6982848746702075,207
52602,0.7032173266634345,207
52639,0.7523053744807839,207
52671,0.8008908620104194,207
52828,0.9196312492713332,207
52910,0.6350786378607154,207
53034,0.771175161935389,207
53091,0.4866049578413367,97
53133,0.5808430584147573,207
53262,0.9418242936953902,207
53307,0.7636219682171941,207
53349,0.8210178604349494,207
53461,0.7072542933747172,207
53466,0.7763054082170129,207
53523,0.38422853220254183,207
53531,0.7379042124375701,207
53742,0.7978126453235745,195
53766,0.7069182954728603,207
53861,0.7225414691492915,207
53965,0.0809106370434165,207
54175,0.5989833269268274,207
54281,0.5968130892142653,206
54361,0.5036659957841039,98
54379,0.8796201273798943,207
54431,0.8923091040924191,207
54607,0.5548438616096973,207
54701,0.8008873695507646,180
54903,0.8770708600059152,207
55175,0.8637004205957055,207
55184,0.7321602059528232,207
55186,0.7518412871286273,207
55352,0.7380522508174181,207
55590,0.42506993748247623,206
55741,0.4591818293556571,207
55891,0.6742944568395615,207
55938,0.8863469120115042,101
55963,0.6763941934332252,207
56033,0.3555843746289611,207
56048,0.8858045469969511,207
56145,0.815905868075788,121
56264,0.8162210356401853,0
56368,0.5433316109701991,207
56565,0.9334810869768262,207
56622,0.6208341335877776,207
56837,0.01758354716002941,207
56838,0.6617362098768353,207
56962,0.6941437488421798,207
56963,0.5382073996588588,198
57082,0.516753513365984,181
57186,0.3752324776723981,207
57228,0.6883649341762066,207
57298,0.8645428949967027,207
57604,0.7788381958380342,190
57641,0.3734293067827821,207
57644,0.917669809423387,207
57699,0.8162148995324969,207
57768,0.660537714138627,207
57832,0.8790443604812026,207
58040,0.0,207
58068,0.9115625219419599,206
58104,0.7965277833864093,193
58249,0.8376368368044496,207
58270,0.7414236525073647,207
58293,0.7026182767003775,207
58332,0.9042707784101367,207
58374,0.8710153354331851,207
58554,0.30946862418204546,207
58576,0.8087446400895715,207
58656,0.8059482695534825,207
58696,0.6833891896530986,176
58884,0.8835487486794591,207
58949,0.7172232493758202,207
59015,0.791289103217423,207
59018,0.4321601567789912,207
59292,0.9091690788045526,207
59410,0.33599437680095434,207
59615,0.6007155310362577,207
59625,0.8332517044618726,207
59626,0.8062949823215604,207
59629,0.8284226804971695,207
59651,0.5742778489366174,207
