user_id,ll_personalized_poisson,ll_global_scaled_hawkes,ll_user_scale_hawkes,test_purchases
338545,-17.41701717743029,-17.610006717040044,-17.881743542033625,5.0
338549,-10.095060968442976,-9.78939281026447,-9.62395999937968,2.0
338575,-7.4560717161594265,-6.864502026637635,-6.4829804281331125,1.0
338579,-46.86691215191537,-44.032117095456826,-45.677559189048864,13.0
338590,-22.233625714156606,-20.96727134248175,-21.696570148429537,6.0
338607,-20.673304382241792,-21.880220195178016,-21.745478487621813,5.0
338766,-6.739139699967145,-6.200380034624861,-6.4556712639007,1.0
339213,-14.174093129669282,-13.403517079564873,-12.057128152795386,3.0
339352,-11.525810708119323,-11.672517749212624,-11.782050835760801,3.0
339566,-8.55800093577503,-8.67301973333363,-8.967470299658824,2.0
339594,-11.356037099199408,-10.773917982762935,-10.614697183189822,2.0
339753,-16.94859741986413,-14.573880400052643,-15.714185947081065,1.0
339878,-4.931759027042825,-5.1154750183312965,-5.301097763086513,1.0
339993,-16.667133881021332,-14.223010644367962,-15.693299630660286,0.0
340081,-8.464272693838483,-7.598811047216426,-7.4368434525949025,1.0
340088,-9.127224381246275,-8.869724129677676,-9.02552308463512,2.0
340263,-26.598521446178157,-23.257483406803114,-34.67127145352865,5.0
340316,-5.8085039954808755,-5.593102255537471,-5.644096156894124,1.0
340321,-8.536022317243946,-9.183493437850712,-9.283952731991821,2.0
340347,-4.991167307448308,-5.198346358440737,-5.220465689751036,1.0
340410,-11.68937512953174,-11.996055178119914,-12.04192079486661,3.0
340463,-5.4296471276162865,-4.965956573052005,-4.7046058389015215,0.0
340590,-12.434089343540323,-12.263596477273733,-12.347975929022025,3.0
340674,-8.410556227129586,-8.63659890928672,-8.637925638407594,2.0
340692,-61.28383263127652,-57.65187692282385,-58.024167571284025,25.0
340868,-8.827948306440977,-8.924518730521886,-8.821597596609541,2.0
340896,-26.53230587806013,-25.82650796025435,-26.066828116069306,8.0
341089,-35.20746800584002,-36.43139369100582,-36.95607681582772,11.0
341234,-9.802789247075937,-9.121424103685953,-9.853402248193959,1.0
341301,-32.22761916340281,-31.881837761535234,-32.03470644127815,12.0
341506,-9.65650081530807,-9.342771288610253,-9.593249299982881,2.0
341796,-3.303636120215332,-2.7348165362174797,-0.038319240796997577,0.0
341922,-35.770124401936584,-36.76275105385054,-37.92649234299606,11.0
341992,-1.5761979168245335,-1.3503522690308891,-1.354079569000903,0.0
342010,-2.3924885456149223,-2.028128918954372,-1.9681221340849184,0.0
342014,-29.219548250442443,-29.2885957801292,-31.338681775004414,7.0
342025,-14.37817737539901,-14.611254218826872,-14.610310262459826,4.0
342273,-8.488479059502652,-8.566558023698617,-8.547340741615958,2.0
342284,-29.140120985263927,-29.13551278818319,-29.154444765245895,9.0
342358,-9.280932004952303,-9.213493561296422,-9.151799781734614,2.0
342390,-20.245726205247337,-20.018835345968014,-20.143971017240098,6.0
342454,-17.04468004919073,-16.902951026272465,-17.240732208188223,5.0
342507,-15.645358273928515,-16.35568198762903,-16.47321237720609,4.0
342531,-11.954413653537541,-12.249152419687798,-12.999255015816376,3.0
342541,-4.923906394020404,-5.092377096754367,-5.233871563604351,1.0
342580,-11.731149742770112,-12.10616863452328,-12.44530608224706,3.0
342597,-10.227199262656193,-9.910537632824132,-10.168907510190865,2.0
342649,-22.13842859689715,-23.155164854420555,-23.296983424959404,5.0
342679,-2.1128544347213882,-1.8224341921613698,-1.6343886003098718,0.0
342886,-5.352662781490464,-5.376127666968111,-5.337521961772474,1.0
343042,-17.862749749935244,-17.900320412304897,-18.118349981516378,5.0
343135,-46.47256903537488,-44.282441039381006,-44.08287871948562,13.0
343195,-22.747964231195805,-22.48781989779419,-22.413125490302427,6.0
343238,-66.42593356657058,-63.32751762503108,-63.69771298591624,32.0
343344,-3.607351978415468,-2.973989058456569,-3.0649061791285748,0.0
343414,-22.702389507975223,-22.353590802463692,-22.394096285139796,7.0
343662,-79.5646321748306,-75.44685471306379,-76.65363014628305,40.0
343678,-17.922203574834146,-17.97003735457443,-17.42578040152582,5.0
343785,-41.08429117404101,-41.002254047617335,-40.80437018833289,15.0
343796,-29.369873654471437,-28.700951491632328,-29.072883713917857,7.0
343822,-1.4813409710145136,-1.242127175631453,-1.1478216513451198,0.0
343987,-41.92273785893518,-32.53223890075647,-33.909995677623314,7.0
344018,-36.5991187281759,-36.779855128526336,-36.651378311518236,15.0
344140,-1.2054698242894017,-1.0015222758661433,-0.8651840111311943,0.0
344149,-25.420546314142957,-24.397941617088467,-25.414709172941606,7.0
344152,-14.257265216472133,-14.335045423717174,-14.275599461402168,4.0
344375,-6.439775386085863,-6.133899388255395,-6.132676124899163,1.0
344456,-10.893544579247264,-9.556807180157719,-9.815448150014236,1.0
344505,-28.89204371450135,-23.995082582034936,-25.34832355260521,7.0
344556,-5.9311775902395905,-5.976740467958821,-5.8133933558889215,1.0
344643,-32.772316601938364,-32.07745342648223,-32.01468023049264,12.0
344655,-40.69320976440544,-41.124827601006345,-41.14927319457992,16.0
344680,-5.066881041768685,-4.0847368855085495,-4.078005305121622,1.0
344731,-28.46031356848814,-28.25008471464378,-28.388476718482504,10.0
344766,-5.447123904961601,-5.358449818018723,-5.270304910102527,1.0
344918,-36.07444525551662,-33.19712544022221,-34.03588384342199,8.0
344959,-3.303636120215332,-3.10211888645695,-2.1347398883773967,0.0
345161,-5.915628539053188,-5.976936916756958,-5.612644633211356,1.0
345388,-20.612192768650996,-19.459781731057447,-19.143449288514525,4.0
345390,-8.678538006183492,-8.013062471256072,-8.422106304185425,1.0
345472,-14.673740879902361,-15.129238984263036,-24.57590166425808,3.0
345807,-13.759804380627394,-14.301730724488168,-14.70338066834201,3.0
345908,-1.1300816935465536,-1.1625042456545345,-0.9169606530093849,0.0
345950,-4.9791700905721905,-5.1539963249854095,-5.212363537930883,1.0
346058,-14.670103892712149,-14.056907426904028,-14.96555923175033,3.0
346099,-1.177625112814377,-1.0425691050817374,-1.0304613502557365,0.0
346138,-5.415254958047019,-5.538343811156569,-5.580221513441686,1.0
346162,-3.303636120215332,-2.8610136384629317,-2.630664010437549,0.0
346176,-28.175402564365136,-28.579281125177587,-28.663099821988595,9.0
346291,-27.9473540164665,-26.01285251284759,-26.48086939396337,8.0
346295,-34.09201813079223,-34.0035975203481,-34.07439890315002,14.0
346349,-5.173208448746861,-5.282655615772088,-5.253685913717025,1.0
346368,-8.522415643186728,-8.3764237452058,-8.393533039463826,2.0
346373,-26.276850694747388,-25.145543594264726,-25.088287340425044,9.0
346501,-36.187780905934126,-36.744780910570775,-37.26900234986351,14.0
346661,-19.24130514868141,-19.207755006794134,-19.311669435223752,5.0
346708,-37.61981832881637,-36.04593750269073,-35.93670763947807,11.0
346731,-2.6962044038150594,-2.4089135438963956,-1.610820320152985,0.0
346819,-26.40837330995137,-27.399162135387012,-27.633809823363272,8.0
346861,-1.177625112814377,-1.1260426918633146,-0.4574146527667052,0.0
346913,-9.090016449761018,-9.527558239460754,-13.062291300688635,2.0
347012,-8.70395048914077,-9.121063708988322,-9.540846255694936,2.0
347214,-3.607351978415468,-3.127655211390823,-3.148157931473803,0.0
347330,-14.27611551980777,-13.434538247754773,-13.861732537838954,3.0
347474,-5.455539105971746,-5.847367908901161,-5.946376039337957,1.0
347504,-32.3404010213734,-32.580813353238725,-32.56309073944381,14.0
347568,-58.13334171234762,-46.9971423906616,-48.543056298577255,13.0
347637,-62.971331853903344,-61.607098634015415,-61.16582070346831,25.0
347658,-25.628002151397073,-26.094462537195703,-26.386724223148992,7.0
347893,-6.6945591896950605,-6.602621165283796,-6.5194018872241255,1.0
347900,-59.373709973039844,-60.26913668702456,-60.170452981041066,26.0
347986,-18.378976840061075,-18.08625744027753,-18.079348116333158,5.0
348350,-12.462363245845458,-12.975651716578195,-12.977717214747333,3.0
348351,-7.87957870890896,-7.2108949594134835,-6.944984172129137,1.0
348366,-18.001475413306924,-18.098041545854663,-18.456151231453816,5.0
348423,-29.4186454645659,-29.912868155496835,-29.89320105498296,11.0
348492,-23.470935396312747,-23.176966494545606,-23.177249486463218,8.0
348614,-41.92654294359629,-41.85747083613099,-43.05904908528991,8.0
348616,-14.264336696641282,-13.864379533145986,-13.61645880846328,4.0
348693,-9.237645126191246,-9.711428033036558,-9.831201072338317,2.0
