user_id,ll_personalized_poisson,ll_experimental_1_2_hawkes_hl1,test_purchases
22349,-9.250781286910403,-9.452590209334971,2.0
22385,-12.742395908073235,-13.096405470498437,3.0
22399,-13.12871510908697,-13.493565435170085,3.0
22697,-9.874721977067855,-9.943587437244883,2.0
23053,-4.034846149808562,-3.6378933889541596,0.0
23067,-5.819708320088983,-5.673730782065495,1.0
23134,-4.518499553015877,-4.6338570937202395,0.0
23250,-8.174543201224175,-7.995126836297974,1.0
23558,-22.878146465581814,-22.426041635866795,7.0
23666,-5.00590081011509,-4.963748807202574,1.0
23704,-29.78571747064507,-29.89913116935054,10.0
23867,-41.704358920806854,-40.0074940538694,17.0
23932,-8.554771887628878,-8.606753849139514,2.0
24045,-8.68906572637555,-9.473316471645873,2.0
24092,-32.90185211739077,-32.46858572736478,11.0
24289,-1.4813409710145136,-1.7726274158319422,0.0
24426,-1.177625112814377,-1.1123693172752944,0.0
24606,-90.5656407256333,-81.28149022871642,21.0
24644,-27.134577025170657,-27.064967391124107,9.0
24828,-8.46680570961765,-7.622852192941661,0.0
24912,-17.06295656254096,-17.462520666340794,4.0
25090,-15.048029177641169,-15.552576954977333,4.0
25122,-40.14667050566923,-39.77860256731612,17.0
25194,-17.696946703162265,-17.772349068518658,4.0
25332,-23.53133050854907,-23.01871695745009,8.0
25346,-5.065435220786979,-4.696942733392304,1.0
25404,-5.829153032930517,-5.761098323590292,1.0
25562,-9.931221668363511,-9.772428239397247,2.0
25637,-49.289265900716806,-49.05802001146274,22.0
25672,-30.872639534500458,-27.077061577797675,8.0
25724,-13.99939979889455,-14.640108828083896,3.0
25772,-41.75603213105647,-40.95972315936441,18.0
25964,-38.81612258281329,-38.23147336228622,15.0
26063,-21.440548418309287,-18.797232326333567,4.0
26084,-7.996343321799372,-8.15798285368284,1.0
26101,-15.505869636174761,-15.551745623993035,4.0
26104,-20.53920848989662,-19.73274589660457,6.0
26107,-10.793864197338898,-9.883768959311835,1.0
26211,-16.58102736849069,-16.129241582343145,5.0
26367,-9.760621311909375,-9.615568678846783,1.0
26522,-35.92932069937966,-32.38737305857854,10.0
26692,-4.943277105418085,-5.082696105978587,1.0
26704,-15.15483569233692,-15.71814432122555,4.0
26871,-40.38452233209238,-38.03500317441618,11.0
26961,-38.72286883063323,-34.08302296241934,12.0
27213,-1.7850568292146498,-2.1424924997781907,0.0
27256,-38.232990702123026,-38.92363685858654,12.0
27326,-6.907870484444855,-6.6175437918385684,1.0
27377,-42.38259702303528,-42.52437041840939,16.0
27379,-23.995883646080575,-22.423781813724567,8.0
27597,-22.967297388370852,-22.88694774863784,8.0
27699,-36.71616102647282,-32.975780510204004,12.0
27749,-26.32933338067087,-26.304305866981835,9.0
27780,-45.320528192722875,-44.92291114549021,20.0
27859,-17.71828274852616,-16.192996559063904,2.0
28113,-15.223772693703994,-15.632814742816842,4.0
28150,-12.08029719528087,-11.732620137540607,3.0
28171,-5.976579852559027,-7.479792455841184,1.0
28196,-4.948185986688612,-4.628766181873524,1.0
28272,-21.7172277180905,-20.082968972854495,6.0
28335,-15.301783710490652,-14.616805180543247,4.0
28375,-2.9172432214727197,-2.5841861011459084,0.0
28432,-8.733998597143316,-8.90005490627445,2.0
28436,-3.607351978415468,-3.146284669242155,0.0
28489,-15.316894143489584,-14.824906145423695,4.0
28523,-21.9483096765468,-21.169053239153563,5.0
28525,-15.322988180151642,-14.426953594747825,3.0
28572,-58.655878291598135,-58.044633194389654,25.0
28582,-9.590306930023576,-9.479152566646578,2.0
28653,-61.43134129904262,-59.93089104740544,22.0
28700,-23.889534706604802,-22.08561736897359,6.0
28830,-13.33998766322955,-13.207297260198567,3.0
28876,-23.927962047106693,-23.777077142076816,8.0
28991,-95.43467859616541,-84.59376051707068,18.0
29136,-21.090388114334015,-20.741982446847086,6.0
29244,-30.17391411234244,-30.1058051473428,11.0
29253,-10.02692794325416,-11.047342917405407,2.0
29410,-17.524193513330566,-17.80106949608984,4.0
29468,-17.55821834532251,-17.31056845818668,5.0
