user_id,ll_personalized_poisson,ll_e1,test_purchases,ll_e12
660803,-14.470292170107568,-14.788520022116844,4.0,-14.793410813209269
660861,-2.088772687414786,-1.7419432099553458,0.0,-1.8254429627685684
660881,-5.174189674147462,-5.113844925470669,1.0,-5.0970387514104525
660997,-21.760347656110476,-21.785638478238145,7.0,-21.645917830522137
661022,-2.9999202620151957,-2.5797828178170294,0.0,-2.660204464233591
661216,-16.298980037517527,-16.245069710611688,4.0,-16.35687356255749
661235,-5.195797624980317,-5.548479303168329,1.0,-5.466708756651088
661285,-54.045378523476415,-53.19365495936139,21.0,-53.07837421227227
661460,-9.298234591395142,-9.174448126833395,2.0,-9.49265467903416
661977,-30.507026981461394,-31.473624925276496,9.0,-31.482649164944576
662138,-8.678538006183492,-7.995992619933634,1.0,-8.17544397118419
662192,-49.94002070026464,-50.23211574621793,8.0,-51.63522021742249
662199,-35.14552751555545,-34.55564463361843,12.0,-34.77564127823343
662248,-6.703154838693091,-6.485428967796909,1.0,-6.572804492832749
662362,-37.398582412460435,-34.90969753680305,11.0,-35.29467695571192
662519,-26.39911858532988,-26.74315611015919,9.0,-26.73863943814133
662628,-53.10238015563541,-52.08769319110952,19.0,-52.52003882242523
662712,-6.601701753792846,-6.5900811263379735,1.0,-6.668584998145894
663178,-8.909433946824539,-8.051661073384285,2.0,-8.08101503014433
663233,-12.654557959606084,-12.53992840082678,3.0,-12.615201638294968
663369,-1.7937491934969505,-1.637768577521331,0.0,-1.7119608775937476
663431,-12.388684008246235,-12.347990468499429,3.0,-12.28611894828804
663459,-6.994408345204738,-6.681247927470612,1.0,-6.732843680475461
663465,-43.85402697777949,-44.80854124105486,18.0,-44.98649600044644
663578,-19.735035399899775,-17.56103853044625,5.0,-17.577250255516212
663643,-1.177625112814377,-1.057712003955743,0.0,-1.1026487299397962
663764,-24.63954374124564,-23.39014595342646,7.0,-23.68391804782017
663790,-34.42776374881466,-33.96010143578224,11.0,-33.91594337833523
663902,-17.171532260084046,-16.45360490768337,3.0,-16.460842115119085
663939,-16.26542380244957,-16.808841823571825,4.0,-16.777821513296534
663960,-54.894943127909535,-54.110904451048015,20.0,-53.96137666615215
663988,-1.4813409710145136,-1.260262767167009,0.0,-1.3199816329055971
664081,-3.911067836615605,-3.2275699485774516,0.0,-3.368455646200038
664180,-15.08490363147238,-15.396992465086171,4.0,-15.36840306012646
664207,-12.681136380657,-12.474136781730197,3.0,-12.538788440414432
664273,-11.750764146398035,-12.184792061897944,3.0,-12.122278469358816
664382,-24.62345132980244,-24.731339429465827,8.0,-24.554515633685796
664414,-15.601396567421986,-16.286104048516535,4.0,-16.193040686861213
664438,-9.669733084065667,-9.863978449725815,2.0,-9.755669575371492
664567,-8.571961897236498,-9.450953671343946,2.0,-9.4412924212936
664569,-5.3439715163133,-5.386832448575791,1.0,-5.384557282163679
664694,-5.053776302868574,-4.732589921023625,1.0,-4.6656941864443855
664871,-25.79206750707491,-23.71343276042843,6.0,-23.31855947897525
664877,-1.4813409710145136,-1.2934212070791258,0.0,-1.3545538466574651
664917,-5.231984579705419,-5.323313374350315,1.0,-5.32615966309409
665011,-13.225434748339058,-12.944681866878213,3.0,-13.179191690201408
665054,-22.99570504217763,-23.02922286347616,7.0,-22.907387882273685
