user_id,ll_pooled,test_purchases,ll_experimental_1_hawkes
38106,-15.909310362745527,5.0,-16.25279188592126
38175,-29.7467666020245,8.0,-35.340228586757306
38206,-72.97574468754887,25.0,-60.33939466500754
38469,-56.95234601851338,25.0,-52.353950895952416
38582,-109.95389581987968,28.0,-87.82714041981576
38594,-29.54313489894394,11.0,-30.044102852381787
38871,-36.64587939013572,12.0,-34.65494244796056
38918,-78.083208160798,41.0,-74.29775992308863
38919,-13.056302088366987,3.0,-12.400350865579387
39110,-15.526770369253216,4.0,-15.12567396641204
39139,-5.590971071412675,1.0,-6.16754907638275
39285,-3.631524985787164,0.0,-6.594011550155232
39329,-53.468998642855865,20.0,-54.83023646446839
39385,-5.928548941416226,1.0,-5.033565882484393
39449,-18.41150144118605,5.0,-17.38403936472794
39458,-14.754567698320551,2.0,-12.55955253844533
39488,-2.6259097327038385,0.0,-3.3832299544264024
39521,-13.441217660453752,3.0,-12.66334809911375
39590,-12.375842996684575,3.0,-12.140520791173255
39605,-7.012127128134287,1.0,-6.469252723400327
39621,-5.62758048864522,1.0,-4.687872781464665
39678,-3.3306863314471413,0.0,-3.08762204714486
39809,-12.30075626609431,3.0,-18.053960060518204
39826,-16.62657952304967,5.0,-17.241848474425343
39889,-5.775896309832138,1.0,-5.306603151719591
39935,-23.59308704056538,7.0,-22.954309519729662
39963,-24.47536377661004,6.0,-21.398253472144383
39965,-9.986955750062052,2.0,-9.598546274826926
40057,-59.49859686940117,20.0,-50.791885452314204
40104,-37.89201260825679,17.0,-37.15334731621479
40131,-19.410939971424767,5.0,-20.21883083959186
40167,-5.8166253416940625,1.0,-5.256812193711714
40402,-7.265130807116337,1.0,-4.9803876373328215
40742,-6.269669951046414,1.0,-5.342179037006879
40746,-11.871955924481387,3.0,-11.41542056761962
40777,-15.290735972324953,4.0,-14.993382898224889
40805,-23.491872202110223,6.0,-23.717312993687052
40807,-11.767788081457388,3.0,-12.108872464884342
40884,-15.6214926583143,4.0,-14.635521036716476
40938,-31.576064825748325,11.0,-30.79425866328493
41016,-19.16342732371468,5.0,-18.686756429766746
41048,-160.16157222795508,77.0,-147.6792781312369
41098,-49.6170393299861,20.0,-46.33704018399669
41226,-14.619591563868894,4.0,-17.448305632821743
41300,-48.84872794651642,12.0,-41.320595011634914
41415,-17.916814265634596,5.0,-17.919559236538117
41474,-6.35160304147362,1.0,-6.229210443277321
41488,-16.37855847663752,4.0,-16.358080040702117
41492,-9.524454034253548,2.0,-8.910784413480886
41543,-39.9739062367111,14.0,-39.92177924168642
41550,-2.0844632697334933,0.0,-1.7488176937971838
41830,-15.86608970152072,4.0,-14.516100135067758
41838,-6.09132270494443,1.0,-5.126106024740211
41860,-66.68213666470761,30.0,-68.82852831722154
41910,-2.19818105534224,0.0,-1.349792792529703
42108,-10.0767000582349,2.0,-9.025158932489289
42141,-9.20189795680928,2.0,-9.285082352080853
42190,-11.34244730595815,3.0,-12.26756005099186
42318,-21.419695241107103,6.0,-25.74942071261166
42341,-2.889635752217449,0.0,-1.2376590296537646
42456,-9.785013380224616,2.0,-8.88625678184167
42530,-18.17820472699942,5.0,-17.648334387170358
42606,-2.204010155975873,0.0,-3.791794626787372
42766,-33.3769430067078,11.0,-30.209068783471785
42979,-13.025585763697222,3.0,-12.459328225930497
43107,-5.3351283531304015,1.0,-4.975731707132462
43159,-5.655704463492282,1.0,-5.020921207028106
43234,-16.88471224158223,6.0,-18.27403164869857
43463,-14.723976448430928,4.0,-15.24376372499378
43498,-8.726850198550034,2.0,-8.594164569548688
43614,-2.4726431243727447,0.0,-2.3312028160041165
43615,-3.2506931135181616,0.0,-4.3562384441470385
43787,-28.696125492017316,9.0,-37.68514315442627
43937,-49.25423735321051,19.0,-49.23793012819615
43966,-13.7185557664826,4.0,-13.77771526941346
43969,-2.23438919370937,0.0,-5.062804322912803
44016,-68.4070643398069,27.0,-65.33222475519307
44074,-6.868606694923917,1.0,-5.208141480344138
44075,-7.318593042777523,1.0,-8.135654147666763
44121,-13.127097081158055,3.0,-11.954276743517218
44179,-21.974579157993674,7.0,-21.36255219069152
44264,-2.3325223461122837,0.0,-3.066332067094493
