user_id,ll_personalized_poisson,ll_experimental_1_additive_hawkes,test_purchases
729089,-5.398223328123836,-5.452559233652313,1.0
729414,-3.607351978415468,-3.607351978415468,0.0
729554,-5.115938173702083,-4.623962951503377,1.0
729555,-37.57858238294761,-37.272278645390685,11.0
729569,-16.045733982047835,-16.140604546245967,4.0
729610,-47.40953060543947,-46.45557057069914,18.0
729737,-1.4819022918830835,-2.079012296493035,0.0
729949,-0.8739092546142408,-0.9201183215356266,0.0
730004,-55.38100874929713,-51.45847190957907,17.0
730081,-18.434867910051835,-18.529047239667698,5.0
730147,-81.46700030978762,-81.20971729795222,35.0
730166,-8.886847982570128,-9.238628529356923,2.0
730193,-46.34317955078989,-40.16390920296206,12.0
730459,-47.446117036143505,-46.86497357551758,20.0
730599,-4.928669945849553,-5.065875816019376,1.0
730668,-1.177625112814377,-1.318771374783521,0.0
730758,-8.937558463075005,-8.985067735175754,1.0
730877,-44.45035242721474,-43.47024201594472,16.0
731006,-22.63970588833467,-22.930193750109368,7.0
731043,-5.696134887685797,-6.1721745622933195,1.0
731089,-17.384722400159795,-17.020996800055855,5.0
731194,-22.993934069653474,-22.3236624796101,7.0
731209,-11.746514725348048,-12.020767606852228,3.0
731215,-25.949264777491347,-27.41838460431788,6.0
731327,-1.23702370394456,-1.2889457407735885,0.0
731546,-1.177625112814377,-1.435556706084435,0.0
731599,-7.859373993217377,-8.465356843666669,0.0
731604,-15.555572783801503,-15.944281408178608,3.0
731621,-35.21654513162858,-32.74803370460024,8.0
731798,-19.865896445727632,-19.444230109646796,6.0
731802,-12.400819220203136,-12.933678630361097,3.0
731813,-4.822215411216014,-5.252724648740537,0.0
731915,-1.2690158301952144,-1.3901612890336335,0.0
732011,-1.177625112814377,-1.214808912678014,0.0
732031,-44.828956226060555,-45.35154077915518,18.0
732420,-42.35819045169884,-42.70017566638457,18.0
732431,-4.963579002061045,-5.025642247063268,1.0
732439,-25.69420157612434,-25.47767165389197,8.0
732502,-22.337736563509722,-22.372183727327332,7.0
732550,-4.982467603551886,-5.042839191772842,1.0
732774,-5.067139666089175,-5.14102157518813,1.0
732953,-1.4813409710145136,-1.5144991984409664,0.0
732994,-4.9716422683362795,-5.1596992729934374,1.0
733161,-51.632643758346845,-50.29547428860285,20.0
733231,-27.42317111371425,-27.855739366991187,9.0
733415,-15.3812080699461,-14.705228532802009,4.0
733486,-31.407231582823137,-31.506297845313604,12.0
733512,-30.08276985499518,-29.53188310416361,10.0
733519,-40.29306027909569,-40.85592375343463,15.0
733547,-1.177625112814377,-1.2444404660421262,0.0
733560,-0.266477538213968,-0.30245843623572477,0.0
733567,-12.518559109548756,-12.483487532443519,3.0
733641,-93.87827649083017,-94.8111205691593,56.0
733895,-3.607351978415468,-3.7317717115974753,0.0
733914,-33.93403672851437,-29.457399038000847,9.0
733915,-2.088772687414786,-2.23404573089114,0.0
733942,-2.3924885456149223,-2.5485397454324517,0.0
734064,-29.626834414016407,-29.785778084637947,13.0
734095,-5.127409800103793,-5.574468539002823,1.0
734164,-22.745664446941266,-23.54313222648716,7.0
734165,-33.98216442888104,-34.82030160876684,13.0
734175,-7.859373993217377,-7.9557256721592005,0.0
734183,-1.4813409710145136,-2.0833405973989367,0.0
734241,-37.989409069413554,-38.35690199081326,13.0
734351,-35.078199698568625,-35.37008965588626,13.0
734589,-77.07704961784907,-78.4050403324089,22.0
734679,-17.236601203316255,-15.858249024143271,4.0
734793,-43.76941853866952,-43.62932924675135,17.0
734825,-15.090579394158786,-15.266148936313414,4.0
735166,-12.446710129394788,-12.483681890216012,3.0
735174,-6.790479408659264,-6.96330196467205,1.0
735184,-28.918772869209402,-28.585972119125756,9.0
735222,-6.083806733016295,-6.243907214908136,1.0
735467,-71.65799570281946,-69.4431154450866,45.0
735471,-61.470263846895854,-61.62327569576103,14.0
735652,-25.513232776422555,-25.70702272722948,9.0
735936,-11.670156373284595,-11.687786729956834,3.0
735943,-43.42072875461494,-43.93049566546548,17.0
736116,-30.987472588558152,-29.89618108409551,10.0
736139,-25.1100060782578,-23.049052224360384,6.0
736218,-11.615010907029767,-11.633399248584276,3.0
736231,-9.352347893140974,-9.462856965771639,2.0
736364,-5.891323443965623,-6.098401449441616,1.0
736412,-16.860165035006307,-16.74810051139442,4.0
736657,-30.256411548636237,-30.52848104070786,6.0
737006,-5.733362985816423,-5.73341004135494,0.0
737059,-114.72756555114144,-106.32864217293876,48.0
737112,-0.266477538213968,-0.34900936416693706,0.0
737231,-11.581225805207216,-11.724676698245187,3.0
737250,-5.793852543203776,-5.865941269725607,1.0
737411,-20.256710891980408,-18.886957304654416,4.0
737495,-24.41658436029057,-24.901360359569324,7.0
737526,-4.2147836948157416,-4.27883089971166,0.0
737681,-14.939798778022933,-14.987083677489796,4.0
737698,-14.331437341529831,-14.7377894698185,2.0
737707,-17.417820264930764,-16.430140674983228,5.0
737720,-50.648697691031586,-50.14179673131346,20.0
737724,-42.077326844635316,-42.38825516920803,19.0
737747,-12.50097916690174,-12.764134665652461,2.0
737923,-5.12593126941615,-5.340240162028512,0.0
737978,-3.8633921878225648,-3.88132062161045,1.0
738119,-54.71833081501248,-53.21420459508894,27.0
738269,-10.89653257521874,-10.903370498211368,0.0
738276,-1.3444868016928988,-1.3444870715943613,0.0
738372,-12.244392275280367,-10.504425786961736,3.0
738547,-17.84542495479984,-18.057794432638254,3.0
738586,-33.711605190003276,-31.77520939789392,9.0
738641,-19.43816859954345,-19.676771990121075,5.0
738684,-2.088772687414786,-2.1936797813426807,0.0
738799,-7.6597668045152885,-7.977823145848562,1.0
738814,-38.3259848924649,-38.64048110487389,9.0
738850,-51.63481814493855,-52.69267559896901,14.0
738990,-5.985666281400874,-6.164004962010706,1.0
739159,-64.64628148725097,-62.93041465817706,25.0
739222,-22.348772087208065,-22.52339790114931,6.0
739278,-36.132663733218315,-35.674438386847996,8.0
739551,-13.3189325576392,-13.067280689306576,3.0
739554,-17.642943767190474,-16.900547122206973,5.0
739603,-5.010387054995299,-5.057800019817995,1.0
739905,-3.984393589802299,-4.033125334951488,0.0
740009,-8.95771455185623,-9.169534212141253,2.0
740063,-34.589917303306805,-34.10954850803005,11.0
740152,-24.615446727892415,-24.79012094212826,7.0
740198,-8.633677771835725,-8.743113893249298,2.0
740247,-33.50361826942288,-33.18606286386364,11.0
740398,-20.69852133574342,-21.083637369363828,5.0
740489,-14.43273171063679,-14.359962949324274,4.0
740682,-21.906231664361115,-22.13310256954785,6.0
740734,-7.839032039650451,-8.04042024037498,1.0
