lambda_l2,target,source,alpha,lam_u_mean,mean_baseline_train,mean_hawkes_train,hawkes_train_nll,hawkes_test_nll,delta_train,delta_test
0.01,to_cart,searches,0.014757750966631818,0.7071147027128294,0.265129683219522,0.1000924628521263,0.834526098515031,0.9842265370365301,-0.010525248946133825,-0.047922306316511176
0.01,to_cart,to_cart,0.08636936264981548,0.7071147027128294,0.265129683219522,0.1000924628521263,0.834526098515031,0.9842265370365301,-0.010525248946133825,-0.047922306316511176
0.01,to_cart,to_ord,0.0,0.7071147027128294,0.265129683219522,0.1000924628521263,0.834526098515031,0.9842265370365301,-0.010525248946133825,-0.047922306316511176
0.01,to_ord,searches,0.004695657848086676,0.8228478984990081,0.08474423857409888,0.019518737110565787,0.3156241029897467,0.40251416899175785,-0.0006071026222330134,-0.007073903356968281
0.01,to_ord,to_cart,0.005234929844560655,0.8228478984990081,0.08474423857409888,0.019518737110565787,0.3156241029897467,0.40251416899175785,-0.0006071026222330134,-0.007073903356968281
0.01,to_ord,to_ord,0.021060494941461536,0.8228478984990081,0.08474423857409888,0.019518737110565787,0.3156241029897467,0.40251416899175785,-0.0006071026222330134,-0.007073903356968281
0.05,searches,searches,0.12899776882708985,0.7270935191300507,0.8779714637902747,0.33051610426132766,1.8580704306903906,2.0976498097418292,-0.05393134908209185,-0.15427473221073562
0.05,searches,to_cart,0.02711730758620013,0.7270935191300507,0.8779714637902747,0.33051610426132766,1.8580704306903906,2.0976498097418292,-0.05393134908209185,-0.15427473221073562
0.05,searches,to_ord,0.0,0.7270935191300507,0.8779714637902747,0.33051610426132766,1.8580704306903906,2.0976498097418292,-0.05393134908209185,-0.15427473221073562
0.05,to_cart,searches,0.014176636044876362,0.7576258511669218,0.2840070879106357,0.0895641036298271,0.8331908314400738,0.9872650394707132,-0.011860516021091061,-0.044883803882328044
0.05,to_cart,to_cart,0.07416174091359082,0.7576258511669218,0.2840070879106357,0.0895641036298271,0.8331908314400738,0.9872650394707132,-0.011860516021091061,-0.044883803882328044
0.05,to_cart,to_ord,0.0,0.7576258511669218,0.2840070879106357,0.0895641036298271,0.8331908314400738,0.9872650394707132,-0.011860516021091061,-0.044883803882328044
0.05,to_ord,searches,0.0044535762241076785,0.8221557279639388,0.08477460322036215,0.01871773047970644,0.31510806063279395,0.40231348826268476,-0.0011231449791857528,-0.007274584086041369
0.05,to_ord,to_cart,0.004857789863700572,0.8221557279639388,0.08477460322036215,0.01871773047970644,0.31510806063279395,0.40231348826268476,-0.0011231449791857528,-0.007274584086041369
0.05,to_ord,to_ord,0.02136964818279364,0.8221557279639388,0.08477460322036215,0.01871773047970644,0.31510806063279395,0.40231348826268476,-0.0011231449791857528,-0.007274584086041369
0.1,searches,searches,0.13219322887055138,0.7133263256594161,0.8621489500767041,0.3393431266883864,1.8582528503102747,2.09476038914484,-0.05374892946220777,-0.157164152807725
0.1,searches,to_cart,0.02864425405867579,0.7133263256594161,0.8621489500767041,0.3393431266883864,1.8582528503102747,2.09476038914484,-0.05374892946220777,-0.157164152807725
0.1,searches,to_ord,0.0,0.7133263256594161,0.8621489500767041,0.3393431266883864,1.8582528503102747,2.09476038914484,-0.05374892946220777,-0.157164152807725
0.1,to_cart,searches,0.014975869783626732,0.7402796173286932,0.27821472093547284,0.0937407853613696,0.8337761172146952,0.9862113192296231,-0.011275230246469592,-0.045937524123418116
0.1,to_cart,to_cart,0.07717602590702165,0.7402796173286932,0.27821472093547284,0.0937407853613696,0.8337761172146952,0.9862113192296231,-0.011275230246469592,-0.045937524123418116
